SPGTable,,,,,,,,,,,,,,,,,,,,
#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE_TICKER,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV
,,,FY0,FY-5,FY-4,FY-3,FY-2,FY-1,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY0,FY-1,FY-2,FY-3,FY-4,FY-5
,,,,,,,,,,,,,,,,,,,,
3M Company (NYSE:MMM),105135,NYSE:MMM,"13,132,000","19,775,000","18,317,000","16,957,000","16,751,000","13,693,000","6,016,000","5,405,000","(8,768,000)","4,703,000","9,669,000","9,067,000","24,948,000","24,575,000","24,610,000","26,161,000","35,355,000","32,184,000"
A. O. Smith Corporation (NYSE:AOS),4020605,NYSE:AOS,"203,900","158,700","230,700","376,800","166,800","228,500","813,100","795,600","835,700","701,000","686,800","521,000","3,830,200","3,818,100","3,852,800","3,753,900","3,538,900","2,895,300"
Abbott Laboratories (NYSE:ABT),4004092,NYSE:ABT,"14,136,000","19,890,000","19,251,000","17,966,000","15,968,000","15,326,000","12,033,000","10,714,000","10,463,000","12,380,000","12,742,000","8,789,000","44,328,000","41,950,000","40,109,000","43,653,000","43,075,000","34,608,000"
AbbVie Inc. (NYSE:ABBV),4558282,NYSE:ABBV,"68,400,000","87,097,000","77,597,000","64,583,000","60,579,000","68,250,000","29,254,000","25,808,000","26,912,000","28,695,000","28,280,000","21,148,000","61,160,000","56,334,000","54,318,000","58,054,000","56,197,000","45,804,000"
Accenture plc (NYSE:ACN),4142760,NYSE:ACN,"8,182,866","3,485,513","3,506,634","3,325,756","3,149,034","4,120,549","12,222,532","11,047,350","10,934,651","10,397,826","9,215,555","7,986,088","69,672,977","64,896,464","64,111,745","61,594,305","50,533,389","44,327,039"
Adobe Inc. (NASDAQGS:ADBE),4047847,NASDAQGS:ADBE,"6,656,000","4,708,000","4,673,000","4,633,000","4,080,000","6,056,000","9,242,000","8,404,000","7,268,000","6,716,000","6,378,000","4,808,000","23,769,000","21,505,000","19,409,000","17,606,000","15,785,000","12,868,000"
"Advanced Micro Devices, Inc. (NASDAQGS:AMD)",4066743,NASDAQGS:AMD,"4,006,000","531,000","661,000","2,863,000","3,003,000","2,212,000","6,745,000","5,150,000","3,854,000","5,438,000","4,055,000","1,681,000","34,639,000","25,785,000","22,680,000","23,601,000","16,434,000","9,763,000"
